Sector,Avg ΔIC,Avg ΔRankIC,Avg ΔHitRate,Avg ΔSharpe,Avg ΔMDD
Technology,-0.03830140064628956,-0.016553440372819462,0.009746008008350912,-0.005161486073390375,0.00084113978672357
Finance,0.0180020326980859,0.08285853143442291,0.05541804128598598,0.8232862849921478,0.0016476495992603934
Healthcare,-0.14106943578467704,-0.15690650387285748,-0.0728561753075024,-1.0426409614203904,-0.0036024186689578787
Energy,-0.17925801834015048,-0.1799473643679878,-0.05217181986450472,0.08431057202619188,0.0013868880808379403
Consumer,-0.07215212411727116,-0.06903475420901327,-0.027951932857006166,-0.6939230267464113,-0.0027289058922235865
Industrials,-0.1401182240274965,-0.13513966741125066,-0.014786835108931922,-0.022486302199530028,0.0013697109714948998
Telecommunications,-0.0919215850077814,-0.05361545941411695,-0.02407498237711233,-1.183055838211646,-0.0020444540554723396
Utilities,0.06780811934304835,0.04491630559686871,0.018973622354562104,-0.38226126482439965,1.979058701101974e-05
Real Estate,-0.19736273118247424,-0.1695541009216743,-0.08841037645969227,-1.8863779648148458,-0.004711697169585259
Materials,-0.06938976939831823,-0.05024138744682519,-0.05511567377251827,0.09232941325628807,0.0014981269741866597
Transportation,-0.005347546772681277,-0.0410089787718592,0.027618784424709542,-0.15454359043655247,0.0006607361230878807
